Interactor 1	Interactor 2
Snr1	Rgk2
fj	ena
para	tipE
NFAT	CycE
w	Inr-b
hh	Cdk4
htl::tor	Ras85D
sog	kek5
p53	Diap1
slmb|Pits	CkIα
Dad1	crc
Zip71B	ZnT41F
norpA	Atg1
fra	mew
danr|dan	CtBP
dod	Su(var)205
DopEcR	Egfr
RacGAP84C	poe
Raf	Dis3
LamC	Atg5
Su(var)3-3	hh
Tollo	tkv
upd1	Myc
Antp|N	Taf3
Impβ11	tkv
blw	E2f1
ccb	spir
ash1	Caf1-55::Hsap\MORF4L1
Delta	twin
nanos	nsl1
chic	Apc2
Delta	Ip259
Axn|Rbf	Rheb
Pkn	nmo
hth	jing
Diap1	Usp15-31
scrib|bsk	msn
dsh	E(spl)mβ-HLH
dan	CtBP
lap	jing
Idh	D2hgdh
Rbf	N
fzr	loco
Tcs3	crc
aux	Clc
kis	cic
tn	ERR
Tl	Col4a1|vkg
dom	XNP
rod	wg
dom	mts
smo	E(smoDN)1835
Act88F	Zasp52
Cerk	CDase
Rfx2	Diap1
mys	pio
trbl	stg
mtm	Rho1
abd-A	spi
Timp	Mmp2
C3G	rl
Dref	mys
mop	yki
y|ph-p	sn
ap|Bx	CG1943
LIMK1	RhoGAPp190
RpL7	puc
Ras85D|Apc	Pten|p53
Nmdar1	rut
sina	pros
grim	foxo
msl-2	Spt5
sdt	shg
Cdc27	tws
Dys	lace
Dys	l(3)j5B6
DENR	eIF2D
vir	Sxl
upd1	Krn
ninaE	Gcn2
Acsl	tkv
mwh	RhoGEF2
Pten	Ret
upd1|egr	CtBP
Dg	mbl
Rac1	pk
E(z)	ash1
Drak	zip
upd1	CG4306
Pp2B-14D	CS3-1
H	CG11779
N	RpL13A
rpr	morgue
Hrs	dsh
Mps1|mad2	vtd
anchor	Mad
Smn	btl
Nsf2	GS5246
CycE	S(CycE<up>JP</up>)3.3
shot	Rab5
Cad99C	nopo
GluRIIA	TBPH
Sarm	Cdc50
mira	Su(Mir)3C2-1
Chchd3	Opa1
Septin4	park
dsh	numb
wg	pygo
hng1	CG11723
Sgsh	Sod1
Rab5	Dronc
rdgB	laza
Polr2B	su(RpII140<up>Z36</up>)S20
Phf7	Reepl1
hid	yki
eya	Cap-H2
grim	crb
Bx	mir-14
dom	wdb
Ubx	aos
lig	CycE
Mnat9	kibra
if	puri
Kr	Psa
Ciao1	CycE
caz	rho
N	E(Egfr)C12
Su(var)205	htt
Gug	pnt
Pink1	ND-42
csw	Usp47
mira	CycE
Src42A	Raf
p120ctn	RhoGEF2
babo	daw
btl::Egfr	Egfrap
βTub85D	hay
RapGAP1	Rap1
Patronin	Mer
Gp93	rl
foxo	osa
hep	pan
mir-8	spi
sli|robo1	kuz
ro	Delta
mxc	hep
DJ-1α	Pi3K92E
Pink1	Usp30
scrib	wg
Khc::Ggal\MLCK	sli
htl	sty
ato	hry
hiw	Cln3
ap	lncRNA:Hsrω
sev|Ras85D	Taf4
ninaE	Cdk5
Cog7	SiaT
Vav	trio
dsh	hid
Cul1	S6k
BEAF-32	ftz
scra	shg
Dcp-1	eff
uif	N
hid|spen	nito
Su(z)2	Dll
egr	Xbp1
Ras85D	ER3-3
cact	cactin
Su(H)	N
SkpA	InR
Myc	Kdm5
fzr	KP78b
Pcl	skd
Zip42C.1|ZnT63C	ZnT77C
arm	mir-8
w	Mow|Wow
rib	zip
grim	Hsp60D
apt	Stat92E
Ret	l(3)S012805
α-Spec	Miro
w	Sce
Ras85D	Cbl
Tm1	E(To)4
Tcs3	Xbp1
path	eIF4E1
lncRNA:roX1|msl-1	ocm
twi	wg
Ras85D	Sec6
scrib	Dronc
Dsor1	PTP-ER
Dyb	Cdc42
Dad1	hep
Parg|Hrb98DE	shg
Pvr	Tao
Chc	N
jet|tim	cry
erm	ham
jus	CadN
Khc::Ggal\MLCK|robo1	Sos
Atg6	Buffy
aos	SM2-1
Rab23	fy
kn	asrij
Ras85D	Ilp3
wg	ovo
Ret	l(3)S066607
Sce	SMC1
cindr	puc
Kap-α3	Kap-α1
Jra|kay	Fkbp14
Dys	kek1
Top3β	Fmr1
Caf1-55	htt
enc	otu
sgg|arm	aPKC
ct	sqz
park	TP53INP
Raf::tor	ed
bs	rho
mir-bft	hid
DAAM	Rac1|Rac2
dup	pim
Dfd	nej
ftz	E(ftz)3150
tyn	trk
Pcl	mor
neur	HERC2
CalpB	mys
Sb	Rok
Marf	Dhpr
Pink1	DCP2
norpA	w|Vps35
Pc	bur
exu	exu::Dpse\exu1
dop	DCTN1-p150
Nf1	eag
Rap1	faf
Ras85D	msn
yki	whd
Egfr::tor	sty
Tm1	E(To)12
mei-41	bsk
Ras85D	Mi-2
Apc2|Apc	hep
dco	fz
dsh	tws
Dso2	Dso1
Liprin-α	Liprin-β
Gαo	kermit
ap|Bx	Slh
CycG	lok
ph-p	eff
lz	osa
Psn	kkv
ASPP	Src64B
egr	CYLD
DCTN1-p150	NaPi-III
upd1	Brd
tut	Not1
Pink1	Drp1|mAcon1
para	Rab8
Cdc27	polo
Ras85D|scrib	rpr
Dfd	gcm
prd	gsb::Mmus\Pax3
Antp	Snr1
sna	Cul1
svp	rin
mor	Su(var)3-3
stumps|btl	Raf
ap|Bx	Mpcp2
ftz	E(ftz)1027
myd	tkv
slmb	yki
Mnat9	spas
Bub3	msl-1
Elp6	S6k
cindr	Traf4
ct	CycE
Pi3K92E|btl::Egfr	L2HGDH
gl	hry
BicD	kst
Kr	GstS1
park	Opa1
Arpc4	Cdc42
Src64B	PRL-1
bw	l(3)neo38
NT1	spz
dlp	Notum
cnc	Ras85D
Itpr	Orai|NUCB1
Dora	sha
Nsf2	CG42450
RpS3|yki	egr
N	shams|Xxylt
trp	inaE
Brkd	para
Ras85D	Ilp2
S	Krn
ZnT86D	Catsup
ND-23	Wwox
vn	Ubx
rpr	E(Pc)
fred	H
Cln3	Hibch
KaiR1D	VGlut
lt	Su(var)205|Su(var)208
Tap42	mts
Syx1A	CG3760
rux	S
Polr2B	su(RpII140<up>Z36</up>)S16
trol	shg
Vps35	EndoA
ninaE	sordd1
lap	D1
fzr	dco
Snr1	Egfr
bas	para
scrib	Stat92E
w	Su(w<up>a4</up>)
PolG1	dhd
ben|Uev1A	Tak1
MTF-1	MtnA|MtnB|MtnC|MtnD
smo	E(smoDN)1889
hry	gro
osk	esg
ninaE	wg
Bub3	lic
Ras85D|fmt	Tak1
Zyx	jub
mi	Cul4
scrib	ben
Tctp	CycE
E(bx)	lncRNA:roX1
aos	SM3-8
N	α4GT1
Shrm	trio
CycE	hth
spz	spz5|NT1
Ras85D|scrib	Ets21C|kay
ninaE	Drice
Hsc70-5	VGlut
sov	bam
Chchd2	Thor
Wdr24	RagA-B
nwk	EndoA
Ret|hid	Fak
Fak	dnc
dom	brm
HUWE1	Tab2
ari-1	EcR
Zip71B	foi
z	e(y)2
LKRSDH	VhaAC39-1
cry|norpA	Rh6|Rh5
Cdk4	Rbf
msn	Nrt
Snr1	E(Egfr)B56
ago|Myc	puf
sktl	PRL-1
spz5|NT1	kek2
cindr	shg
robo1	robo1::Cele\sax-3
tou	Chi
Scr	M(2)56F
Uch	Drice
Dfd	stout
bic	βNACtes4
mwh	Rok
stg	bam
CycE	Abl
dgo	ds
E2f1|Dp	osa
Atg1	Wdr33
wgn	Moe
fj	Ser
Pp2B-14D|CanB	CS3-2
Bx	CG2604
btl::Egfr	sty
upd1	trbl
N	RpL38
Dp|E2f1	ebi
Tsc1|gig	CycC
iav	sgg
shi	hook
Act88F	up
Pink1	eIF4G1
mir-276a	nej
shg	pont
PlexA	Lar
dlg1	spz
Shrm	sqh
bw	Mod(Prat:bw)3-3
Ubx	asRNA:PS4
arm	E2f1|Dp
Tango1	dpy
btl|stumps	Smg5
geminin	dup
Dref	bib
Atg1	ACC
Src42A	rl
scrib	fmt
Antp	CycE
Sh	Appl
Vhl	Rab5
Bx	Pcif1
InR	Chro
Ras85D|scrib	Rab10
Cu-3	Sb
aux	Chc|lqf
sNPF-R	Gαs
scrib	lic
sc	dpn
kay	Fkbp14
Invadolysin	SNF4Aγ
Rbf	Cbl
Pdk1|Akt	chrb
jus	esg
dom	foxo
amos	H
fra	tutl
w	drosha
CYLD	Tak1
rho	Eps-15
CadN	uzip
Frq2	cac
grk	Lis-1
Rassf	Rel
eya	Abl
faf	Chc
Sgsh	Atg1
dx	GPHR
wun2|wun	Rho1
aph-1	crb
anchor	Med
ftz	E(ftz)4758
Arf6	arm
ninaE	bsk
Ubx	Alh
tkv	Ack
Bx	skd
dally	arm
chb	Cam
grim	Mnr
phyl	E(spl)m8-HLH
vap	Nf1
grim|Diap1	Dark
hop	Cdk4
cry|ninaE	Rh6
RpS3|yki	Dronc
H	sty
RacGAP84C	bchs
SH3PX1	Egfr
grass	psh
bin3	CycT
Ser	M285
Delta|mir-7	ci
fog	krz
egr|CtBP	bsk
boss	RasGAP1
tkv	Snr1
Dora	mwh
Myc	dpp
rpr	Su(z)2
Ras85D|mud	wg
Smox	Actβ
Ras85D	ER2-3
vg	1577
Bar	oro
Uvrag	Atg14
ksr::tor	aop
Cul1	Uba3
sog	Mad
Dref	Tom40
rho	Ras85D
egh	Akt
bun	aop
comt|SERCA	CrebB
bw	Samuel
tefu	DNAlig4
dysf	hop
Hipk	Stat92E
Snr1	CG7656
N	f06222
Set8	Set8::Hsap\KMT5A
Egfr	Su(tor)2-3
Raf	Su(phl)4
βTub56D	βTub65B
hep	kay
esc	htt
mir-210	bmm
grim::rpr	Dronc
sina	SS3-1
sgg	pan
ap|Bx	mir-282
ftz	E(ftz)2142
αTub67C	pins
Pink1	Sting
Fak	rl
g	w
Dad	Mbs
Abd-B	CycG
Pi3K68D	hemo
ksr::tor	Src42A
Sce	dome
Tudor-SN	piwi
Pink1	STUB1
eyg	pan
dpy	su(dpy<up>ov</up>)
Dsor1	ER3-2
foxo	Pten
InR	fng
Liprin-α|Liprin-β	Liprin-γ
rdgB	stops
ema	Mad
Src42A	FER
arm	α-Cat::shg
sav|wts	BEAF-32
ZnT86D	ZnT35C
GSd427	RN-tre
dom	PCNA
Orco	Or83c
hh	Su(hh)VII
sisRNA:2	mir-ban
insv	N
H	px
Rbf	dom
dan	CtBP|danr
faf	E(faf)bE365
Nrg	Fas3
Trl	corto
ap|Bx	EP3-980
SH3PX1	yki
svp	psq
Ras85D	mago
crb	l(2)gl
Sema1a	mys
dar1	sw
smo	dsh
Sk2	car
FASN1	srl
wg	egh
Pink1	Dhpr
sev|Ras85D	rl
upd1	rux
Khc::Ggal\MLCK	chic
Kdm5	Ras85D
mxc	mol
tsg	sog
lz	su(lz<up>34</up>)
Ras64B	sty
mod(mdg4)|ct	su(Hw)
hid	emb
pnr	Stip1
hh	mts
N	ptc
Ras85D	emei
ksr::tor	MESR6
rpr	mir-278
EndoA	EndoA::Hsap\ARFIP2
Rho1	robo1
awd	Pu
Chro	JIL-1
ey	shg
InR	Sam-S
Bub3	msl-2
Rok|Drak	sqh
Marcal1	mor
Ras85D|l(2)gl	wts
Egfr	sty
Shrm	Src42A
Chi	Fpps
elav	robo1
aux	rl
fred	N
Psn	so
Eogt|Dcr-2	b
CSN5	trn
NT1|spz5	spz
Pi3K92E|btl::Egfr	Thor
Ras85D	Pten|Apc|Med
rg	Egfr
Mnat9	Eb1
spi	csw
dnc	amn
Dys	wun
csw	Delta
hpo	Dronc|Dark
okr	mei-P22
Akt	rictor
ct	Pka-C1
Lztr1	Ras85D
hpo	hid
bs	brm
w	Dcr-1
Coq2	Atg1
hiw	raptor
Ras85D|l(2)gl	mir-9c
Ras85D	Pten|p53|Apc
hid|Ras85D	hep
CycE	S(CycE<up>JP</up>)47S8
smo	Stat92E
so	eya
wapl	pds5
Nsf2	CG1888
Nlg2	tsr
Ras85D|scrib	cher
lz	Bgb
ND-42	Bsg
vg	P\T
CycE	l(1)air7
sub	Incenp
hppy	mTor
Pten	ImpL2
nompC	Atat
vn	Krn
Dcp-1	Cth
TER94	x16
pnr	osa
Dhpr	nanos|Drp1
m	f
Sin3A	bsk
put	Pp1-87B
crb	Mnat9
or	aux
Lsd-2	HDAC6
sd	trr
COX5A	Prosβ6
H	N
nw	dpy
p	or
Vha44	puc
Pi3K92E|btl::Egfr	Nrg
spin	tkv
tara	osa
w	kis
Wnk	Sarm
tefu	Rel
Sin3A	shg
E2f1	E(Pc)
ND-42	AP-2α
Rga	htt
spn-B	Sirt1
mamo	Taf3
rt	tw
p115	Stat92E
sfl	Hs2st
ERp44	Stim
nrv2	nrv2::nrv3
w|esc|su(Hw)	ph-p
CycE	ex
α-Spec	β-Spec
upd1	mir-14
Sos	Cdc42
Rac1	C3G
Sh|eag	LanA
Antp	ss
ninaE	Arl1
Pkn	sqh
cpx	Syt4
Pvr	tn
Patronin	Diap1
mew	jbug
ct	wg
CaMKII	btl
wg	sc
ct|mod(mdg4)	Su(mg)1-7
mys	2R-F
l(2)gl	Glyat
NdufA3	Hsc70-4
wts	Ncoa6
NFAT	futsch
Kr	l(2)04548
spict	tkv
Nf-YB	Raf
jing	Egfr
zip	PDZ-GEF
Ras85D	twi|wg
Bar	su(Hw)
Phb1	Rbf
GluRIIA	KaiR1D
Pax	ssh
Smox	Optix
Cad99C	Uev1A
brm	CG41378
ct	Psc
rho-5	Egfr
park	cnc
hep	Ets21C
Pvr	EP2444
net	CycG
Antp	art
CycE	S(CycE<up>JP</up>)3.4
dsh	sgl
eg	robo2
Pp2B-14D	CS3-4
robo2|robo1	Abl
Naus	stv
Dys	fra
ac	su(Hw)
pnr	kibra
arm	aPKC|sgg
dpp	lwr
btd	btd::Mmmm\Sp1
htl	Sod1
sev|Ras85D	SR3-7
14-3-3ζ	hemo
norpA	ninaE
kcc	Ncc69
Ask1	p38c
klhl10	soti
lqf	shi
Gαs	Cul3
Efa6	γTub23C
if	btl::Egfr
neur	eff
if	mtm
Su(var)2-10	hop
cindr	CG4238
danr	CtBP
lncRNA:flam	ct
polo	tws
N	anon-XXIV
en	eRF1
Pc	tna
Gba1b	Rel
sqh	ovo
l(2)gl	Sema5c
loaf	Lar
mod(mdg4)	Su(mg)3-5
Psn	dac
arm	Fas3
Ras85D|Vps15	Lkb1
nej	Glo1
norpA	key
slmb	ATP7
Rab5	puc
Or83c	ATP8B
rho	Fas2
hid	nmo
Socs44A	aos
mir-8	Nrg
sens	Su(z)12
aop	gl
gfzf	Trxr1
rb	w
Csk	cpa
tau	futsch
spz	yeti-MBT|tld
DopEcR	Dop1R1
Ras85D	SR3-6
EMC1	yki
Rbfox1	pum
Rbf	ptc
ed	Fas1::Nrg
Rab5	Cat
wts	Rox8
chb	sano
Snr1	LpR1
Delta	rumi
Rnf146	dome
tau	Klp61F
H	bsk
cGlr2	cGlr1
cbt	E2f1
in	dsh
Pngl	Oga
hid	Vps36
Pc	mbf1
Pten	PRL-1
Delta	Ide
btl::Egfr	aop|Gug
meigo	Hsc70-3
Sdc	robo2
InR	Tsc1|gig
Ppt1	EndoA
yki	syd
upd1	Phb1
Snr1	Bub1
CycE	Axn
vtd	mod(mdg4)
Ras85D	Timp
Dysb	Arpc1
comt	Atal
kcc	jbug
Raf	Su(phl)43B
atos	Tsc1
btl|stumps	Atg1
Delta	M285
Delta	Su(Delta)D107
Marf	Sod1
Streak	e
DAAM	Cdc42
Fancm	Blm
S6k	RpL8
E2f1	Pvf1
Polr2B	su(RpII140<up>Z36</up>)S6
rpr	ph-p
bdg	stan
Fas2	Met
lt	Su(var)208|E(Pc)
brm	pont
Pvr|Egfr	Tie
ApepP	Apc2
S6kII	Dsor1
nej	E(z)
mod(mdg4)	Su(mg)1-9
RIOK2	p53
dpp	dac
Acn	hpo
Ilp2	InR
l(1)sc	Delta
pnr	CG5180
Ppt1	Sumo
gbb	scw
parvin	Diap1
Rho1	ena
mamo	Trf2
brat	Pepck1
pbl	tefu
cher	vari
Kdm5	Su(var)3-9
foxo	trbl
shot	koi
Dys	Sply
chico	Atg5
aPKC	Su(Tpl)|lilli
dpp	l(2)gl
msi|sina	ttk
how	crn
arm	puc
DAAM	Rac1
cmb	Rok
RanGAP	Rcc1
Marcal1	Asx
sd	wg
pk	fy
para	LanA
eIF4E5	aPKC
Pink1	gw
arm	Psn
Pc	Caf1-55
CkIIα	E(spl)m8-HLH
CycG	mei-W68
jeb	cnk
cni	cnir
trk	Ptth
Pak3	SCAR
Rho1	Rab5
aop	spen
para	Rab9
park	heix
sax	Mad
chb	Dab
tll	Doc2|erm|otp
stan	gish
Ctr1B	MTF-1
mei-41	MCPH1
CycE	Eb1
CG12084	H
Scr	hth
pbl	Sur-8
Ser	kuz
btl::Egfr	Eip78C
Lrrk	Vps35
ptc	yki
ftz	E(ftz)2828
ct	Trx2
Mef2	Myc
bw	Mod(Prat:bw)1-1
ato	ase
bi	upd1
Lrrk	E2f1
Poxn	CycE
ap|Bx	nmd
ap	eya
Diap1	w
Eogt|Dcr-2	Ser
Ank2	DAAM
EcR	heca
Mon1	VGlut
aurA	numb
Cdc42	Ip6k
rl	p53
Itpr	NUCB1|SERCA
ftz	E(ftz)3201
rdgA	wun
ZnT86D	ZnT41F
kay	jing
BicD	Lis-1
by	bsk
Pvr	CG7231
asp	Dsor1
ph-p	e(Pc)84DE
ap	Chi
L	hth
asf1	brm
ebi	hep
TrpA1	Nmdar1
Ras85D	Ilp2|Ilp3|Ilp5
Erk7	nclb
CycA|Cdk1	rux
Pink1	Lrrk
Ubx	N
Or47b	dsh
Rbf|Stam	Egfr
Ras85D	Vps16A
CycE	RpL38
caz	ru
upd1	BRWD3
puc|flw	sqh
sona	arr
Duox	cysu
Xrp1	caz
Egfr	Diap1
pnr	ptc
Rbf	Apc
ed	Egfr
Pi3K92E|btl::Egfr	Rheb
Nsf2	C3G
brm	Sin1
bchs	car
crb	SCAR
Ask1	y
Zip42C.1|ZnT63C	Zip88E
Xport-B	trpl
Dys	POSH
Pp2B-14D|CanB	CS3-1
pbl	gish
Ras85D	ER3-2
Syx1A	EP454
Nadk1a	Hsl
Pcl	Gug
w	pasha
Antp	Pcl
Ptp52F	Ptp10D
dpp	cv
Rbf	bsk
L|atms	hyx
plum	EcR
Csas	sei
ds	fz
mam	EcR
Myb	CycB
btl::Egfr	Sox100B
gbb	gbb::scw
kon	CadN2
ato	ato::Bmor\ato
ato	amos
L	dsh
Pi4KIIIα	Pld
Marcal1	crm
WASp	AP-1μ
sev|Ras85D	Polr2I
hpRNA:1	ATPsynβ
rdgB	Esyt2
chn	ebi
cindr	roq
cindr	Efa6
Dcp-1	Dronc
Gyc76C	Mmp2
Snr1	mor
Cln3	tsu
pnr	CG8219
jub	shg
chb	CG6287
Ret	RasGAP1
Prosβ2|Prosβ6	Tnks
hh	Cad99C
Tace	bmm
E(spl)mγ-HLH	Su(Tpl)
btz	Nct
brm	ninaD
Ilp2	Ide
tkv	gl
Bar	br
spg	sev
grim	Dronc
Scm	CtBP
raw	lncRNA:acal
H	Sin3A
bi	hop
nkd	nkd::Hsap\NKD2
fy	stan
Ras85D	ER2-4
smo	E(smoDN)G
drpr	Crk
rpr	IKKε
Dronc	Usp2
grim::rpr	skl
ph-d	vtd
Sirt2	HDAC6
pbl	Fur1
E2f1	trx
Dad1	Stt3A
chb	wnd
ninaE	Ire1
dally	dpp
Dys	gcm
tkv	Egfr
Psc|Su(z)2	brm
Cdc42	NFAT
mirr	ttk
Pink1	Trap1
RhoGAP92B	WASp
Nf1	dnc
Ras85D	NFAT
lola|psq|Delta	mirr
Delta::N	Dcr-1
Osbp	Rab11
Pdk1|Akt	scyl
spn-B	trem
btl	Raf::tor
L	EP950
btl|stumps	EP2494
Lmx1a	eya
ksr	csw
N	Opa1
Vps35	Rab7
Axn	Arf6
RacGAP84C	cindr
Eaat1	VGlut
slmb|cnc	Ctr1A
cac	Itpr
para	Rab32
sc|sisA	lncRNA:roX2
mir-bft	Diap1
N	dind
Pi3K21B	tkv
Act88F	Act42A::Act88F
Csk|puc	ASPP
foxo	Ras64B
pb	hh
shg	ft
lin-52	mip120|mEFTu1
hop	pzg
Bx	Su(Tpl)
Dref	MESK2
MnM	Mhc
hfp|hay	Myc
Rtnl1	atl
btl|stumps	Tsp42Ef
ds	ft
ast	S
Src42A	sev
lz	e(w<up>e</up>)
H	Kdm5
Snr1	ph-d
ct	CG7920
Pi3K92E	RIOK2
αCOP	Drp1
Antp|Pc	Nsf2
Snr1	Dred
csw	rho
trx|brm	Su(z)2
pk	stan
dgo	aop
Blos1	Dysb
Myt1	Wee1
ap|Bx	EP3-378
Rho1	Parp1
fog	WASp
dpp|lolal	tkv
Gprk2	smo
nopo	Uev1A|ben
Pi3K92E|btl::Egfr	stg
Ppcs	Sod1|Cat|Trxr1
tou	pnr
TBPH	DCTN1-p150
rdgB	Arr2
mspo	Pax
lola|psq|Delta	Axn
gfzf	Pink1
dpp	Su(dpp)39CDE
Cka	stv
rdgC	shi
Dref	l(2)k05448
Vps35	kuz
Pi3K92E	aru
shn	eRF1
Lar	Sema5c
Atg18a	Pten
BEAF-32	ss
Lrp4	loaf
Csk	Cmtr1
Nsf2	CG14411
H	so
timeout	mei-41
H	mew
robo1	kra
Syx1A	Bacc
nej	cgd
ninaE	hid
mod(mdg4)	Su(mg)3-2
bchs	eff
rpr	Usp15-31|Dark
brm	Dlst
Bx	cic
Fas2	Timp
MAGE	mei-41
pic	gig
Ctr1B	MtnB
Mmp1	Fmr1
ap	Ser
DCTN1-p150	Su(Gl)57
N	Tbp
p38b	hiw
CNBP	Myc
hop	CG10764
mTor	Pten
pnr	RnpS1
N	su(fa<up>swb</up>)
Arf1	Pi3K92E
Rala	msn
dan|CtBP	danr
wg	polo
Rac1	HP1b
dia	yki
Madm	mTor
Vha44	Ras85D
baz	Dhc64C
ct	aop
GckIII	Nsf2
trx	scf
gwl	polo
spn-D	mei-W68
Appl	Dscam1
CycE	spen
TrpA1	Or67d
toy	ey
Vap33	CG7564
Cyt-c-d	Cyt-c-p
Smox	Vha16-5
w	Taf9
Ras85D	Traf4
PDZ-GEF	Dsor1
hid	X11L
y	Topors
tsl	RhoGEF2
cher	pbl
αCOP	Vap33
HDAC1|ttk	Mi-2
Dcp-1	lncRNA:Hsrω
parvin	Ilk|Diap1
hpo	Tsc1
ap|Bx	tara
clu	Marf
w	Taf11
Ire1	Dronc
Dcp-1	Pi3K92E
Srrm1	per
E2f2	Orc5
bdg	Vang
kis	dome
brm	CG7409
Pax	cdi
rho	aop
brk	mir-ban
mei-218	lwr
Ten-a	Ten-m
Mov10	Dad
Poxn	sv
in|fy	fz
Fmr1	Abl
bwk	Shark
CycE	S(CycE<up>JP</up>)43S1
RIOK2	Erk7
Bre1	N
hh	Su(hh)IV
Dcr-2|Arf6	Asap
CycE	Zn72D
Lpt	wds
brat	dpn
nmo	N
w	B52
dlg1	cnc
Abl	Abl::Hsap\ABL1::Hsap\BCR
Shrm	flw
smo|gish	Gprk2
Ype	su(sable)
sev	kay
mam	Psn
Impβ11	wit
Dab	Abl
norpA	CtsL1
fs(1)h	Rac1
Egfr	E(Egfr)C12
obk	ft
PGRP-LE	Pvf2
BEAF-32	Tofu
pnr	sd
Dg	Sema2a
Rbf	Pabp2
Snr1	Stat92E
rho	gra
mira	capu
mod(mdg4)|y	Trl
Sarm	drpr
Ank2	wgn
Nadk1a	Sirt1
cato	CycA
elav	sli
aos	lep
gl	Pph13
bnl	btl::tor
TrpA1	Rdl
grn	zfh1
hh	Su(hh)V
Ret	l(3)S023549
Nct	N
Pvr	EP595b
Sin3A	stg
Cpes	norpA
hop	CycE
Fpps	Hmgcr
pie	foxo
caz	mirr
DopEcR	dnc
dia	hpo
mod(mdg4)	Su(mg)2-5
brm	zen
Rala	Exo70
Tak1	Jra
sqa	sqh
kud	klar
ND-42	Cs1
brk	pan
hop	baz
futsch	DAAM
Pi3K59F	Rab7
Dronc	scny
GluRIIA	Khc-73
per|tim	cry
Ras85D	MESK3
Lis-1	shg
E2f1	Asx
jus	cac
Spt5	Myc
βTub56D	βTub97EF
tkv	fu
Vav	Rac2
ZnT86D	ZnT49B
H	amn
unc-104	bsk
Ras85D|rl	Pi3K92E
ppk	Piezo
sina	lilli
bs	shot
ninaE	CG31468
Rap1	Epac
wg	Kr-h1
Egfr	mir-998
EMC3	Diap1
btl::Egfr	Drak
Snr1	l(3)72Dr
Jra	mbl
Raf	SR3-6
dx	Su(H)
kay	D1
rl	ash2
crb	dlg1
eag	Khc
kis	EloC
shi	BicD
Dcp-1	Ubc4
Drl-2	drl
peb	CycE
Raf	step
Egfr	Ras64B
Ser	H
Arp3	WASp
Dys	dpp
Pink1	milt
aurA	tefu
ft	vg
Rdl	Lztr1
BicC	exu
γTub37C	E(γTub37C<up>1</up>)
Egfr	Su(tor)2-180
egg	Su(var)3-9
Ras85D|upd1	dome
Csk	dia
sti	Rac1|Mtl|Rac2
bsk	out
Ras85D	EK2-5
Ced-12	Sos
N	e(r)
Pak	shg
Rab23	mwh
Antp	Dsp1
Pka-C1	Strn-Mlck
Pax	ttk
AdamTS-A	LanA
TER94	TBPH
klg	repo
Mer	ex
pnr	EP950
Arl6IP1	Drp1
sd	Hrb27C
Lrrk	S6k
pyd	Delta
TSG101	Stat92E
rpr	Ilp8
Pp2B-14D|CanB	sty
wupA	dpp
mir-9a	Diap1
hkb	Cdk1
wrd	Liprin-α
Ipk2	Dronc
pnr	dpp
E(spl)mβ-HLH	sc
pb	eyg
Uvrag	ptc
Mad	wg
sd	chm
rho	N
gcm	upd3
spen	H
Dlish	ex
Raf|RhoGEF2	Rok
lola|psq|Delta	Utx
Su(H)	arm
rpr	Ack
α-Cat	α-Cat::baz
Pak	tsr
cpa	Diap1
cathD	Trxr1
Girdin	Akt
TkR99D	Gγ1
β-Spec	DCTN1-p150
ex	par-1
fog	tsl
NT1	spz5|spz
Atg4a	Atg8a
Akt	foxo
sens	E(ls)3
Snx16	tkv
shg	sgg
Dcp-1	Atg4a
rl	mask
pHCl-2	Rheb
E2f1	hid
da	sens
Gr22e	Gr59c
Hayan	Prx2
Hsc70-5	dj-1β
rod	DNAlig4
Gas41	armi
cup	EndoA
mbl	bru1
atos	LKRSDH
y	e(y)2
egr	pan
lncRNA:roX1	loqs
H	dx
hid	JMJD6
so	nej
InR	hep
H	dve
Ras85D|PpV	Tak1
Adv	Egfr
lok	CG46339
omd	Smurf
slbo	Hsp27
psq	tor
btl|stumps	dco
ro	Su(ro<up>DOM</up>)1480
lok	mei-41
ap|Bx	fng
Sgt1	polo
ct	mor
rpr	qkr58E-3
Kr	Sap130
fzr	comm
Ras85D	retn
g	z
Mgtor	Mps1
robo1|sli	Pak
Mkp3	btl
N	CkIIα
ft	Raf
BEAF-32	Dll
H	sax
Xpd	CycB
sqd	Hrb27C
egr	Apc2
elav	elav::Sxl
nej	l(3)71DEc
Pi3K92E	Ras85D
lncRNA:roX1	Su(Tpl)
ci	sd
Imp	sna
Ret	CycA
EP639	H
Nsf2	kuz
Snr1	pyd
Sec71	Nrg
pnr	EP339
Nup44A	Nprl3
mirr	Mob
w	Rm62
L	EP2012
pdm3	Or42a
spn-B	mei-P22
park	STUB1
pinta	santa-maria
Delta|lola|psq	Su(var)3-9
Crk	mbc
ap|Bx	lilli
ex	Myc
Arpc2	dock
Ser	Utx
Hr39	EcR
zip|Rho1	Mbs
Psn	eya
CG10939	Rho1
csw	tkv
sgg	Su(fu)
E(z)	brm
Akt	Wdr62
